TransactionID,ClientID,ChannelID,Amount,PaymentMethod,PaymentDate,Month
TXN00001,1,3,2826.47,Bank Transfer,2024-01-29,Jan 2024
TXN00002,2,5,4508.26,Credit Card,2024-01-27,Jan 2024
TXN00003,4,2,5300.88,Credit Card,2024-01-24,Jan 2024
TXN00004,4,5,4485.44,PayPal,2024-05-23,May 2024
TXN00005,5,1,7708.67,Bank Transfer,2024-05-30,May 2024
TXN00006,6,3,1977.06,PayNow,2024-04-18,Apr 2024
TXN00007,2,4,1418.81,PayNow,2024-01-27,Jan 2024
TXN00008,1,4,5594.17,PayPal,2024-03-08,Mar 2024
TXN00009,5,5,8911.79,PayNow,2024-01-21,Jan 2024
TXN00010,4,1,935.33,Bank Transfer,2024-05-27,May 2024
TXN00011,2,2,8731.59,PayPal,2024-03-15,Mar 2024
TXN00012,8,3,2045.21,PayNow,2024-03-12,Mar 2024
TXN00013,5,1,6286.74,Bank Transfer,2024-02-23,Feb 2024
TXN00014,4,2,4891.47,PayNow,2024-05-16,May 2024
TXN00015,4,3,8507.09,Credit Card,2024-05-22,May 2024
TXN00016,1,3,4311.07,Credit Card,2024-02-28,Feb 2024
TXN00017,6,2,6726.67,PayPal,2024-02-24,Feb 2024
TXN00018,3,3,1826.49,PayNow,2024-04-27,Apr 2024
TXN00019,7,5,4294.3,Bank Transfer,2024-05-29,May 2024
TXN00020,8,1,7679.93,Credit Card,2024-02-05,Feb 2024
TXN00021,3,4,6165.89,PayPal,2024-02-09,Feb 2024
TXN00022,8,5,2888.43,Credit Card,2024-04-07,Apr 2024
TXN00023,5,3,1559.75,PayPal,2024-01-30,Jan 2024
TXN00024,8,1,9561.25,PayNow,2024-02-10,Feb 2024
TXN00025,3,5,9169.96,PayNow,2024-05-08,May 2024
TXN00026,4,2,4052.18,Bank Transfer,2024-05-09,May 2024
TXN00027,1,5,3579.48,Credit Card,2024-05-18,May 2024
TXN00028,6,3,2774.8,Bank Transfer,2024-01-29,Jan 2024
TXN00029,2,1,7453.12,Credit Card,2024-05-25,May 2024
TXN00030,3,2,6767.63,Bank Transfer,2024-05-16,May 2024
TXN00031,7,2,9324.68,Bank Transfer,2024-03-08,Mar 2024
TXN00032,7,3,4661.95,PayPal,2024-03-20,Mar 2024
TXN00033,4,2,1108.25,Credit Card,2024-01-31,Jan 2024
TXN00034,4,5,2592.07,Credit Card,2024-05-30,May 2024
TXN00035,4,1,9101.49,PayNow,2024-01-16,Jan 2024
TXN00036,4,3,6855.29,Bank Transfer,2024-01-19,Jan 2024
TXN00037,3,5,5974.01,Bank Transfer,2024-05-18,May 2024
TXN00038,7,2,1396.1,PayPal,2024-05-01,May 2024
TXN00039,7,4,4936.73,Credit Card,2024-03-31,Mar 2024
TXN00040,1,4,7418.03,Credit Card,2024-01-26,Jan 2024
TXN00041,4,2,5594.71,Bank Transfer,2024-03-04,Mar 2024
TXN00042,3,3,4894.97,Credit Card,2024-04-18,Apr 2024
TXN00043,2,1,6695.38,Credit Card,2024-04-23,Apr 2024
TXN00044,4,2,4360.93,PayPal,2024-01-24,Jan 2024
TXN00045,7,1,2064.05,Credit Card,2024-02-24,Feb 2024
TXN00046,5,4,3209.87,PayPal,2024-04-09,Apr 2024
TXN00047,4,3,2568.16,Credit Card,2024-02-09,Feb 2024
TXN00048,1,3,1043.07,PayPal,2024-05-28,May 2024
TXN00049,3,1,9627.4,Credit Card,2024-05-08,May 2024
TXN00050,2,5,1145.63,Bank Transfer,2024-02-17,Feb 2024
TXN00051,2,5,2839.05,Credit Card,2024-04-13,Apr 2024
TXN00052,7,5,5869.66,PayNow,2024-01-21,Jan 2024
TXN00053,4,3,2767.52,PayPal,2024-03-07,Mar 2024
TXN00054,5,4,3503.68,Credit Card,2024-02-03,Feb 2024
TXN00055,8,5,9985.32,Credit Card,2024-01-03,Jan 2024
TXN00056,4,5,3019.4,PayNow,2024-01-19,Jan 2024
TXN00057,4,3,3207.38,PayPal,2024-01-18,Jan 2024
TXN00058,5,5,9846.61,Credit Card,2024-05-19,May 2024
TXN00059,5,1,9419.84,Bank Transfer,2024-05-21,May 2024
TXN00060,2,1,7552.96,Bank Transfer,2024-03-08,Mar 2024
TXN00061,5,5,2500.98,PayNow,2024-03-10,Mar 2024
TXN00062,5,5,5141.05,Credit Card,2024-02-22,Feb 2024
TXN00063,7,3,918.82,PayNow,2024-01-24,Jan 2024
TXN00064,5,2,7541.69,PayPal,2024-02-03,Feb 2024
TXN00065,1,1,1214.82,Bank Transfer,2024-05-23,May 2024
TXN00066,1,3,6033.84,Bank Transfer,2024-05-19,May 2024
TXN00067,3,1,3428.45,Credit Card,2024-04-20,Apr 2024
TXN00068,4,2,6835.87,PayNow,2024-04-01,Apr 2024
TXN00069,7,5,7620.04,Bank Transfer,2024-05-23,May 2024
TXN00070,3,4,735.47,PayNow,2024-02-11,Feb 2024
TXN00071,4,3,2012.38,Credit Card,2024-04-15,Apr 2024
TXN00072,1,4,2613.12,PayPal,2024-04-07,Apr 2024
TXN00073,5,2,2617.77,Bank Transfer,2024-03-30,Mar 2024
TXN00074,6,3,8711.35,PayNow,2024-04-12,Apr 2024
